hedId	rdfs:label	Type	dc:description
hed:HED_0010701	annotationProperty	AnnotationProperty	The value is not inherited by child nodes.
hed:HED_0010702	boolRange	AnnotationProperty	This schema attribute's value can be true or false. This property was formerly named boolProperty.
hed:HED_0010703	elementDomain	AnnotationProperty	This schema attribute can apply to any type of element class (i.e., tag, unit, unit class, unit modifier, or value class). This property was formerly named elementProperty.
hed:HED_0010704	tagDomain	AnnotationProperty	This schema attribute can apply to node (tag-term) elements. This was added so attributes could apply to multiple types of elements. This property was formerly named nodeProperty.
hed:HED_0010705	tagRange	AnnotationProperty	This schema attribute's value can be a node. This property was formerly named nodeProperty.
hed:HED_0010706	numericRange	AnnotationProperty	This schema attribute's value can be numeric.
hed:HED_0010707	stringRange	AnnotationProperty	This schema attribute's value can be a string.
hed:HED_0010708	unitClassDomain	AnnotationProperty	This schema attribute can apply to unit classes. This property was formerly named unitClassProperty.
hed:HED_0010709	unitClassRange	AnnotationProperty	This schema attribute's value can be a unit class.
hed:HED_0010710	unitModifierDomain	AnnotationProperty	This schema attribute can apply to unit modifiers. This property was formerly named unitModifierProperty.
hed:HED_0010711	unitDomain	AnnotationProperty	This schema attribute can apply to units. This property was formerly named unitProperty.
hed:HED_0010712	unitRange	AnnotationProperty	This schema attribute's value can be units.
hed:HED_0010713	valueClassDomain	AnnotationProperty	This schema attribute can apply to value classes. This property was formerly named valueClassProperty.
hed:HED_0010714	valueClassRange	AnnotationProperty	This schema attribute's value can be a value class.
